field_site_id,date,min_temp_c,max_temp_c
BLAN,2014-01-01,-2.950000000000038,8.049999999999967
BLAN,2014-01-02,-10.45000000000004,0.24999999999995234
BLAN,2014-01-03,-13.85000000000002,-5.8500000000000165
BLAN,2014-01-04,-12.550000000000008,2.249999999999953
BLAN,2014-01-05,-5.650000000000028,7.749999999999955
BLAN,2014-01-06,-17.35000000000002,6.249999999999955
BLAN,2014-01-07,-17.250000000000025,-8.650000000000029
BLAN,2014-01-08,-13.250000000000053,-2.0500000000000034
BLAN,2014-01-09,-4.850000000000016,2.0499999999999643
BLAN,2014-01-10,-0.850000000000014,3.849999999999976
BLAN,2014-01-11,1.4499999999999984,12.34999999999998
BLAN,2014-01-12,-2.0500000000000034,9.14999999999999
BLAN,2014-01-13,-1.7500000000000484,11.950000000000003
BLAN,2014-01-14,-0.7500000000000481,8.849999999999978
BLAN,2014-01-15,-3.550000000000004,8.349999999999978
BLAN,2014-01-16,-4.950000000000038,2.7499999999999534
BLAN,2014-01-17,-5.8500000000000165,8.549999999999967
BLAN,2014-01-18,-8.550000000000006,-2.6500000000000266
BLAN,2014-01-19,-6.450000000000039,6.45
BLAN,2014-01-20,-2.450000000000038,11.549999999999969
BLAN,2014-01-21,-16.15000000000003,-0.7500000000000481
BLAN,2014-01-22,-17.950000000000042,-8.350000000000017
BLAN,2014-01-23,-16.950000000000042,-5.650000000000028
BLAN,2014-01-24,-15.35000000000002,-5.750000000000051
BLAN,2014-01-25,-11.35000000000002,0.5499999999999639
BLAN,2014-01-26,-12.050000000000008,2.949999999999999
BLAN,2014-01-27,-14.350000000000021,7.450000000000001
BLAN,2014-01-28,-14.950000000000042,-10.15000000000003
BLAN,2014-01-29,-16.550000000000008,-4.950000000000038
BLAN,2014-01-30,-15.250000000000053,-0.3500000000000138
BLAN,2014-01-31,-3.7500000000000493,8.549999999999967
BLAN,2014-02-01,-2.6500000000000266,10.84999999999998
BLAN,2014-02-02,-0.25000000000004785,16.149999999999995
BLAN,2014-02-03,-3.8500000000000156,2.849999999999976
BLAN,2014-02-04,-4.050000000000004,0.34999999999997516
BLAN,2014-02-05,-4.550000000000004,6.249999999999955
BLAN,2014-02-06,-6.450000000000039,1.749999999999953
BLAN,2014-02-07,-6.3500000000000165,4.249999999999954
BLAN,2014-02-08,-5.750000000000051,-0.05000000000000229
BLAN,2014-02-09,-6.450000000000039,0.4499999999999979
BLAN,2014-02-10,-10.85000000000002,0.14999999999998642
BLAN,2014-02-11,-12.250000000000053,-0.7500000000000481
BLAN,2014-02-12,-11.750000000000053,-3.4500000000000384
BLAN,2014-02-13,-6.850000000000017,2.249999999999953
BLAN,2014-02-14,-1.1500000000000254,10.349999999999978
BLAN,2014-02-15,-5.650000000000028,1.4499999999999984
BLAN,2014-02-16,-8.850000000000017,1.8499999999999757
BLAN,2014-02-17,-8.850000000000017,0.4499999999999979
BLAN,2014-02-18,-4.650000000000028,13.049999999999969
BLAN,2014-02-19,-0.9500000000000367,15.450000000000003
BLAN,2014-02-20,-0.25000000000004785,11.34999999999998
BLAN,2014-02-21,2.0499999999999643,14.54999999999997
BLAN,2014-02-22,2.0499999999999643,16.149999999999995
BLAN,2014-02-23,-0.850000000000014,14.649999999999991
BLAN,2014-02-24,-4.950000000000038,5.149999999999988
BLAN,2014-02-25,-5.150000000000028,2.4499999999999984
BLAN,2014-02-26,-9.45000000000004,1.2499999999999527
BLAN,2014-02-27,-14.15000000000003,2.3499999999999757
BLAN,2014-02-28,-13.250000000000053,-1.8500000000000145
BLAN,2014-03-01,-9.050000000000006,7.950000000000002
BLAN,2014-03-02,-8.750000000000052,11.14999999999999
BLAN,2014-03-03,-15.950000000000044,-6.7500000000000515
BLAN,2014-03-04,-13.450000000000044,-1.2500000000000482
BLAN,2014-03-05,-9.650000000000029,6.249999999999955
BLAN,2014-03-06,-6.450000000000039,0.8499999999999754
BLAN,2014-03-07,-3.8500000000000156,5.649999999999989
BLAN,2014-03-08,-1.1500000000000254,16.649999999999995
BLAN,2014-03-09,1.2499999999999527,9.649999999999991
BLAN,2014-03-10,2.649999999999987,19.849999999999987
BLAN,2014-03-11,5.049999999999965,19.349999999999984
BLAN,2014-03-12,-7.550000000000006,20.450000000000006
BLAN,2014-03-13,-8.050000000000006,0.34999999999997516
BLAN,2014-03-14,-1.7500000000000484,15.349999999999982
BLAN,2014-03-15,0.24999999999995234,17.450000000000006
BLAN,2014-03-16,-5.650000000000028,4.949999999999999
BLAN,2014-03-17,-5.550000000000005,0.24999999999995234
BLAN,2014-03-18,-2.6500000000000266,4.949999999999999
BLAN,2014-03-19,-0.3500000000000138,8.049999999999967
BLAN,2014-03-20,0.5499999999999639,12.749999999999957
BLAN,2014-03-21,2.5499999999999647,12.849999999999982
BLAN,2014-03-22,1.8499999999999757,20.450000000000006
BLAN,2014-03-23,-7.550000000000006,7.14999999999999
BLAN,2014-03-24,-6.950000000000039,5.449999999999999
BLAN,2014-03-25,-4.850000000000016,0.24999999999995234
BLAN,2014-03-26,-7.45000000000004,1.3499999999999754
BLAN,2014-03-27,-6.050000000000005,10.649999999999991
BLAN,2014-03-28,6.349999999999978,18.149999999999995
BLAN,2014-03-29,3.549999999999965,10.749999999999957
BLAN,2014-03-30,0.9499999999999981,6.95
BLAN,2014-03-31,1.2499999999999527,19.24999999999996
BLAN,2014-04-01,2.3499999999999757,20.749999999999964
BLAN,2014-04-02,8.349999999999978,22.15
BLAN,2014-04-03,8.14999999999999,18.24999999999996
BLAN,2014-04-04,5.95,16.349999999999984
